"x","sgy2","sgy3","sgy4","sgy5","sgy6","sgy7","sgy8","sgy9","sgy10","sgy11","sgy12","sgdy2","sgdy3","sgdy4","sgdy5","sgdy6","sgdy7","sgdy8","sgdy9","sgdy10","sgdy11","sgdy12"
100026,100026.857142857,100024,100025.311688312,100024.86013986,100024.608391608,100024.333936652,100025.226006192,100026.712074303,100028.914351095,100031.069565217,100033.060483092,0.199999999985506,0.714285714287243,0.799999999999676,0.436363636365528,0.791208791215626,0.664285714283329,0.200980392157653,-0.250877192966845,-0.744155844159938,-1.40316205533505,-2.07999999999996
100029,100025.142857143,100026.095238095,100025.627705628,100025.351981352,100025.048951049,100026.736651584,100027.743034056,100029.104378594,100031.118993135,100033.253416149,100035.812560386,1.19999999998503,0.857142857144484,0.399999999998529,0.945454545456402,0.76923076923783,0.424999999999371,-0.19852941176317,-0.963157894723598,-1.75194805195166,-2.46343873517776,-3.38538461538493
100020,100026.171428571,100026.857142857,100025.935064935,100025.811188811,100027.748251748,100028.667873303,100030.544891641,100031.980539584,100033.126185028,100035.375155279,100037.93236715,0.299999999988227,0.428571428571208,1.06666666666927,0.854545454547048,0.417582417590367,-0.353571428573898,-1.06617647058688,-2.02631578946268,-2.96753246753642,-4.01877470355735,-5.03923076923127
100032,100026.6,100025.857142857,100026.909090909,100028.713286713,100029.601398601,100031.371040724,100032.498452012,100033.858027422,100035.430859758,100036.925465838,100039.205797101,-1.48391240815583e-11,0.964285714286543,1.05000000000733,0.300000000000986,-0.64285714284903,-1.4678571428581,-2.57598039215451,-3.47017543859007,-4.67272727273066,-5.9031620553364,-7.189230769231
100026,100027.8,100027.285714286,100029.363636364,100030.72027972,100031.902097902,100032.691402715,100033.637770898,100034.751437417,100036.293233083,100037.792546584,100038.813333333,2.39999999998532,1.17857142857291,-0.116666666662249,-1.06363636363601,-2.12637362636137,-3.38214285714595,-4.34068627450831,-5.66491228069763,-6.86883116883561,-8.28063241106786,-9.64000000000006
100026,100028.057142857,100031.809523809,100031.16017316,100031.701631702,100032.482517483,100032.578280543,100033.216718266,100034.237505529,100035.145472377,100036.027329192,100036.18821256,0.899999999987846,-0.107142857142326,-1.91666666666689,-3.27272727272654,-4.51648351646786,-5.58571428571621,-7.00980392156676,-8.27017543859448,-9.77142857143211,-11.0869565217407,-12.4338461538466
100035,100033.285714286,100031.095238095,100031.861471861,100030.792540793,100029.986013986,100030.495927602,100030.671826625,100031.001769129,100031.236678653,100030.667080745,100030.197681159,-1.40000000001122,-3.82142857142772,-4.65000000000285,-6.30909090909006,-7.43956043954653,-8.81071428571788,-10.1446078431362,-11.6982456140354,-13.0233766233799,-14.3873517786526,-15.5938461538464
100032,100030.714285714,100028.809523809,100026.835497835,100026.184149184,100025.300699301,100024.695022625,100024.817337461,100024.174259177,100022.928407976,100021.78136646,100019.695458937,-6.9000000000127,-7.7142857142852,-9.33333333333961,-9.81818181817915,-11.3736263736136,-12.7178571428594,-14.1789215686265,-15.5017543859679,-16.825974025977,-17.9762845849769,-19.1076923076926
100016,100018.057142857,100019.142857143,100017.402597403,100016.34965035,100016.160839161,100015.159276018,100013.777089783,100012.258292791,100010.31088591,100007.611180124,100006.197101449,-14.7000000000129,-13.821428571429,-13.7833333333402,-15.1545454545439,-15.9835164835048,-17.4892857142902,-18.72794117647,-19.8631578947419,-20.924675324678,-21.9426877470326,-23.0353846153846
100001,99999.9714285714,99999.8571428571,100001.935064935,100001.475524476,100000.517482518,99999.5963800907,99997.1362229101,99994.6222910217,99991.7737822818,99989.8260869565,99987.8885024154,-21.1000000000085,-20.2857142857144,-20.2666666666766,-20.7363636363612,-21.9945054944959,-22.7214285714323,-23.7303921568622,-24.6122807017638,-25.375324675327,-26.3507905138311,-27.463846153846
